"nom","taille","age","points","reb","pd","d","v_d","min","2p_av","3p_av","fg_av","ft_av","ro","rebb","pdd","inn","bp","ct","fa","ptss","eva","ptsss","rebbb","ast","stl","blk","equipe"
Bastien Albert,"2m02",29,7.7,6.3,1.6,19,"7-12",22.9,"55.1%","100%","55.5%","35.9%",2.9,6.3,1.6,1.3,1.4,0.5,3.7,7.7,11.8,18.0,11.0,6.0,3.0,2.0,lyon
Francois Wibaut,"2m00",18,6.1,4.1,0.8,17,"4-13",17.4,"56.4%","21.9%","43.7%","76.9%",1.3,4.1,0.8,0.7,1.1,0.1,2.7,6.1,7.5,16.0,11.0,4.0,4.0,1.0,lyon
Ousseynou Laye Basse,"1m98",31,5.2,3.8,1.0,5,"0-5",14.0,"47.8%","0%","44%","80%",0.6,3.8,1.0,0.8,2.0,0.2,0.8,5.2,6.0,17.0,8.0,3.0,3.0,1.0,lyon
Matheo Vidalenche,"2m02",21,4.6,2.9,0.7,21,"7-14",17.0,"51.2%","42.9%","47.4%","45.5%",1.0,2.9,0.7,0.4,0.6,0.4,2.0,4.6,6.0,12.0,7.0,3.0,2.0,1.0,lyon
Georgi Joseph,"2m00",41,4.5,4.2,1.9,19,"6-13",23.1,"43.2%","0%","42.7%","80.8%",1.7,4.2,1.9,1.1,2.3,0.3,3.0,4.5,7.2,10.0,9.0,4.0,2.0,3.0,lyon
Noah Manet,"1m93",19,3.7,1.9,0.6,15,"6-9",16.5,"40%","30%","34%","80%",0.4,1.9,0.6,0.5,0.5,0.0,1.3,3.7,3.7,15.0,5.0,2.0,2.0,0.0,lyon
Kevin Joss Rauze,"1m90",35,3.4,1.2,1.8,19,"8-11",22.6,"38.5%","40.5%","40%","58.8%",0.3,1.2,1.8,0.8,1.3,0.0,2.5,3.4,4.0,9.0,5.0,4.0,3.0,0.0,lyon
Ryan Nken,-,,2.0,0.0,0.0,1,"1-0",1.0,"100%",-,"100%",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,lyon
Killian Olivieri,-,,0.3,0.0,0.7,3,"3-0",2.7,-,"0%","0%","50%",0.0,0.0,0.7,0.0,1.0,0.0,0.0,0.3,-0.7,1.0,0.0,1.0,0.0,0.0,lyon
Bradley Coquatrix,-,,0.0,0.0,0.0,1,"1-0",1.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lyon
Victor Serrano,"2m10",34,14.7,7.6,1.9,22,"12-10",26.7,"46.7%","47.1%","46.7%","79.5%",2.6,7.6,1.9,0.7,2.0,0.5,1.9,14.7,16.0,27.0,15.0,6.0,2.0,2.0,mulhouse
Jonathan Andre,"2m00",26,12.7,5.7,0.7,3,"2-1",28.3,"52.4%","20%","38.9%","87.5%",1.3,5.7,0.7,1.7,2.3,0.3,3.0,12.7,11.0,14.0,7.0,2.0,3.0,1.0,mulhouse
Samuel Eyango-Dingo,"2m07",22,11.8,5.2,1.2,19,"10-9",19.3,"57.9%","46.2%","55.8%","62.8%",1.4,5.2,1.2,0.8,2.6,0.9,3.1,11.8,12.4,19.0,12.0,4.0,2.0,3.0,mulhouse
Florian Pouaveyoun,"2m03",24,10.0,7.8,2.5,22,"12-10",29.5,"55.1%","11.8%","51.3%","38.9%",2.9,7.8,2.5,1.8,1.7,0.9,1.5,10.0,15.5,17.0,12.0,7.0,5.0,3.0,mulhouse
Lucas Veraghe,"1m97",22,9.4,2.9,3.7,20,"10-10",23.8,"31.1%","38.2%","36.1%","79.2%",0.7,2.9,3.7,1.1,2.2,0.2,3.0,9.4,9.8,18.0,5.0,10.0,5.0,1.0,mulhouse
Hugo Minnig,"1m97",21,9.0,3.5,1.7,21,"11-10",25.7,"64.4%","40%","48.5%","75.7%",0.7,3.5,1.7,0.8,0.9,0.4,2.0,9.0,10.9,22.0,12.0,7.0,2.0,2.0,mulhouse
Benjamin Mondesir,"1m95",24,8.9,1.5,1.4,19,"10-9",21.5,"47.6%","35.7%","37.4%","78.9%",0.8,1.5,1.4,0.4,0.8,0.0,2.3,8.9,6.4,17.0,4.0,4.0,2.0,0.0,mulhouse
Thomas Vincent,"1m84",26,8.8,1.7,4.3,22,"12-10",27.0,"51.4%","35.5%","39.5%","79.6%",0.2,1.7,4.3,1.0,2.1,0.0,2.7,8.8,9.3,15.0,8.0,7.0,3.0,1.0,mulhouse
Seydou Ndiaye,"1m96",23,8.3,4.5,4.3,22,"12-10",23.2,"52.7%","25%","46.5%","66.7%",1.3,4.5,4.3,0.8,3.3,0.8,1.8,8.3,11.0,16.0,7.0,10.0,2.0,4.0,mulhouse
Chris Seeley,"2m02",25,6.3,5.2,2.0,6,"3-3",19.7,"63%","0%","45.9%","50%",1.2,5.2,2.0,0.5,1.0,0.3,1.7,6.3,9.3,11.0,8.0,4.0,2.0,1.0,mulhouse
Hugo Kamdem,"2m00",21,2.9,1.8,0.6,11,"6-5",8.0,"56.3%","33.3%","52.6%","91.7%",0.6,1.8,0.6,0.3,0.7,0.0,0.9,2.9,4.0,10.0,5.0,3.0,1.0,0.0,mulhouse
Christopher Ratinet,"1m97",20,1.3,0.3,0.5,4,"4-0",4.0,"0%","50%","25%","33.3%",0.0,0.3,0.5,0.0,0.0,0.0,0.3,1.3,0.3,3.0,1.0,1.0,0.0,0.0,mulhouse
Emric Gallienne,"1m87",21,1.2,0.5,0.2,6,"5-1",5.2,"60%","0%","23.1%","50%",0.2,0.5,0.2,0.2,0.2,0.0,1.5,1.2,0.0,5.0,2.0,1.0,1.0,0.0,mulhouse
Arthur Buttner,"1m82",23,0.0,0.0,0.0,1,"1-0",8.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mulhouse
Loïc Menuge,"1m99",24,16.0,6.0,1.4,22,"9-13",31.3,"51%","41%","44.5%","85.7%",1.6,6.0,1.4,0.7,2.1,0.1,2.5,16.0,14.9,28.0,12.0,3.0,2.0,1.0,orchies
Andrew Jones,"1m92",26,15.5,4.5,1.3,4,"2-2",30.5,"59.4%","35%","50%","100%",1.0,4.5,1.3,2.3,2.8,0.0,2.5,15.5,14.3,17.0,10.0,3.0,5.0,0.0,orchies
Louis Rucklin,"1m83",24,10.3,1.5,5.2,6,"3-3",28.7,"30.8%","26.5%","28.8%","73.3%",0.0,1.5,5.2,1.2,3.0,0.0,1.5,10.3,5.8,16.0,3.0,7.0,3.0,0.0,orchies
Moussa Mayaki,"2m00",24,9.6,4.8,0.5,19,"8-11",19.0,"56.3%","0%","55.3%","76%",1.8,4.8,0.5,0.3,1.8,0.1,2.9,9.6,10.0,29.0,9.0,2.0,2.0,1.0,orchies
Eduards Hazners,"1m92",26,9.6,1.8,0.8,8,"3-5",21.1,"42.9%","41.9%","42.2%","83.3%",0.4,1.8,0.8,0.4,2.4,0.0,1.3,9.6,5.4,17.0,4.0,2.0,1.0,0.0,orchies
Giedrius Bergaudas,"2m12",23,9.1,4.9,0.4,17,"6-11",20.8,"52.2%","26.8%","44.4%","69.4%",2.4,4.9,0.4,0.4,1.5,0.5,2.8,9.1,8.8,19.0,12.0,2.0,2.0,1.0,orchies
Aurelien Rigaux,"1m78",35,8.7,3.2,7.0,21,"9-12",31.5,"47.1%","35.8%","38.5%","91.7%",0.5,3.2,7.0,0.9,4.2,0.0,1.6,8.7,11.2,22.0,7.0,12.0,3.0,0.0,orchies
Tanguy Touze,"1m90",23,8.5,1.8,1.6,11,"5-6",17.7,"56.3%","40.5%","47.3%","77.8%",0.5,1.8,1.6,0.5,1.7,0.0,1.5,8.5,7.0,26.0,6.0,5.0,3.0,0.0,orchies
Mike Benhamed,"1m90",32,7.0,2.9,1.0,20,"8-12",17.1,"46.4%","43.8%","44.6%","100%",0.5,2.9,1.0,0.9,0.8,0.1,1.7,7.0,8.3,19.0,8.0,2.0,3.0,1.0,orchies
Dovydas Redikas,"1m93",31,6.7,5.3,5.7,3,"1-2",28.0,"22.2%","55.6%","38.9%","33.3%",0.7,5.3,5.7,0.0,4.3,0.0,1.3,6.7,9.0,9.0,9.0,6.0,0.0,0.0,orchies
Glenn Duro,"1m93",35,6.0,3.3,0.8,20,"9-11",17.3,"42.9%","58.8%","45.7%","69.7%",1.2,3.3,0.8,0.7,1.4,0.3,2.8,6.0,6.6,15.0,10.0,3.0,3.0,2.0,orchies
Christopher Tsamas,"1m85",21,4.3,0.8,0.9,20,"7-13",10.6,"48%","34.5%","38.8%","83.3%",0.3,0.8,0.9,0.2,0.9,0.0,1.3,4.3,2.8,23.0,4.0,2.0,2.0,0.0,orchies
Joffrey Verbeke,"1m95",36,4.2,3.9,3.0,22,"9-13",23.1,"41.5%","23.3%","34.9%","65.1%",1.0,3.9,3.0,1.0,1.5,0.0,1.9,4.2,7.5,14.0,9.0,8.0,3.0,1.0,orchies
Wesley Ouatongo,"1m90",23,2.7,1.5,0.3,20,"8-12",10.6,"39.5%","30.8%","37.5%","33.3%",0.7,1.5,0.3,0.2,0.7,0.0,1.8,2.7,1.5,11.0,5.0,2.0,1.0,0.0,orchies
Noah Burrell,"1m94",26,15.5,3.3,3.1,22,"8-14",29.3,"56.6%","38.2%","49.3%","82.7%",0.5,3.3,3.1,1.8,2.7,0.2,3.0,15.5,15.3,26.0,7.0,7.0,6.0,2.0,poissy
Olivier Yao-Delon,"1m93",28,12.3,2.8,0.7,22,"8-14",23.7,"51.9%","26.6%","35.7%","80.9%",0.5,2.8,0.7,1.1,1.0,0.6,1.9,12.3,9.1,21.0,8.0,3.0,3.0,3.0,poissy
Sebastien Michineau,"1m80",32,11.4,3.0,2.6,22,"8-14",25.6,"42.7%","33.3%","40%","75.7%",0.8,3.0,2.6,1.5,2.7,0.0,2.3,11.4,9.0,19.0,6.0,6.0,4.0,0.0,poissy
Louis Gibey,"2m05",23,8.5,3.3,1.0,22,"8-14",21.0,"51%","32.8%","43.9%","82.1%",1.2,3.3,1.0,0.9,1.1,0.2,1.9,8.5,8.3,20.0,9.0,3.0,3.0,1.0,poissy
Anthony Elechi,"2m03",30,7.6,4.3,0.7,22,"8-14",22.5,"59.8%","36.8%","52.8%","66.7%",1.2,4.3,0.7,0.6,1.3,0.1,1.5,7.6,8.9,17.0,10.0,2.0,3.0,1.0,poissy
Kevin Closson,"1m94",31,6.8,3.1,2.8,21,"8-13",28.8,"51.6%","27.3%","39.1%","72.7%",0.8,3.1,2.8,1.1,1.6,0.2,3.4,6.8,8.2,18.0,7.0,7.0,4.0,1.0,poissy
Mario Tonji,"2m05",24,4.9,4.8,0.4,22,"8-14",14.5,"47.4%",-,"47.4%","73.5%",1.8,4.8,0.4,0.6,1.5,0.1,2.7,4.9,6.9,10.0,10.0,2.0,3.0,1.0,poissy
Milos Pajovic,"2m04",29,3.4,1.7,1.5,21,"8-13",17.5,"47.6%","32.6%","37.5%","90.9%",0.7,1.7,1.5,0.1,1.5,0.0,2.0,3.4,3.3,9.0,6.0,4.0,1.0,0.0,poissy
Etienne Rouyre,"1m80",31,3.3,1.8,3.3,22,"8-14",17.0,"45%","0%","36%","72%",0.3,1.8,3.3,1.4,1.4,0.0,1.5,3.3,5.8,10.0,4.0,6.0,3.0,0.0,poissy
Malik Rouamba,"1m90",17,1.8,0.5,0.4,10,"3-7",5.5,"46.2%","33.3%","43.8%","100%",0.1,0.5,0.4,0.3,0.5,0.0,0.4,1.8,1.6,5.0,2.0,1.0,1.0,0.0,poissy
Lenny Caronique,"1m91",19,1.7,0.7,0.2,9,"4-5",3.7,"83.3%","16.7%","50%","100%",0.4,0.7,0.2,0.0,0.2,0.0,0.0,1.7,1.7,11.0,2.0,2.0,0.0,0.0,poissy
Nolan Traore,"1m91",17,16.8,3.2,5.2,20,"5-15",28.9,"51.4%","32.5%","43%","75.3%",0.4,3.2,5.2,2.2,3.0,0.4,2.0,16.8,16.1,29.0,9.0,11.0,9.0,1.0,pole-france
Jonas Boulefaa,"2m03",16,11.2,5.2,0.8,22,"5-17",28.6,"57.5%","38.1%","48.9%","68.3%",1.6,5.2,0.8,1.4,1.3,0.2,3.0,11.2,12.5,22.0,10.0,3.0,3.0,1.0,pole-france
Talis Soulhac,"1m88",,10.9,3.1,3.1,17,"3-14",24.9,"50.6%","31.7%","42.7%","82.6%",0.8,3.1,3.1,1.2,2.9,0.1,2.9,10.9,10.1,18.0,7.0,6.0,4.0,1.0,pole-france
Nathan Soliman,"1m98",14,7.0,2.4,0.4,7,"2-5",20.9,"57.1%","18.2%","46.2%","78.6%",1.0,2.4,0.4,1.1,1.3,0.4,1.4,7.0,6.7,15.0,6.0,2.0,2.0,2.0,pole-france
Mohamed Diakite,"2m05",17,6.8,3.6,1.1,16,"3-13",21.8,"35.7%","24%","33.6%","61.5%",1.2,3.6,1.1,1.5,1.9,0.7,2.2,6.8,5.6,14.0,10.0,3.0,5.0,3.0,pole-france
Yannis Allard,"2m00",16,5.7,2.0,1.1,21,"5-16",20.7,"52.6%","21.3%","30.3%","52.8%",0.2,2.0,1.1,0.8,1.0,0.1,2.0,5.7,3.6,16.0,5.0,3.0,3.0,1.0,pole-france
Hugo Yimga,"2m02",15,5.2,2.2,0.6,16,"3-13",17.4,"41.3%","24.1%","35.9%","71.4%",1.1,2.2,0.6,0.3,1.4,0.3,2.2,5.2,3.2,14.0,6.0,3.0,1.0,2.0,pole-france
Cameron Houindo,"2m01",15,4.6,2.4,0.4,8,"2-6",17.9,"60%",-,"60%","50%",0.9,2.4,0.4,0.8,0.9,0.3,3.1,4.6,5.4,8.0,8.0,1.0,2.0,1.0,pole-france
Henri-Soprano Mboungolo-Mounanga,"1m99",17,3.8,1.7,1.0,20,"5-15",17.6,"45.3%","21.1%","38.9%","64%",0.4,1.7,1.0,1.1,1.7,0.2,2.8,3.8,3.5,9.0,7.0,3.0,3.0,2.0,pole-france
Noa Kouakou-Heugue,"2m02",16,3.0,4.1,0.5,17,"3-14",17.4,"43.2%","23.1%","38%","62.5%",1.2,4.1,0.5,0.4,0.9,0.8,2.4,3.0,5.5,9.0,8.0,3.0,1.0,2.0,pole-france
Meissa Faye,"1m96",16,2.7,1.5,0.2,20,"5-15",11.4,"40%","24.2%","31%","81.8%",0.2,1.5,0.2,0.6,1.0,0.1,1.3,2.7,1.9,13.0,5.0,3.0,4.0,1.0,pole-france
Christopher Ebunangombe,"1m94",16,1.9,1.1,1.0,20,"5-15",11.7,"35.5%","4.3%","22.2%","63.2%",0.6,1.1,1.0,0.8,1.2,0.1,1.3,1.9,1.1,4.0,3.0,3.0,3.0,1.0,pole-france
Mehdi Chaouad,"1m99",15,1.0,0.0,0.0,2,"0-2",5.5,"50%","0%","33.3%","0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,pole-france
Elie Ntowoa Ndenga,-,,0.4,1.6,0.4,20,"5-15",11.0,"6.7%",-,"6.7%","60%",0.5,1.6,0.4,0.5,0.5,0.2,2.4,0.4,1.6,2.0,5.0,3.0,3.0,1.0,pole-france
Abdoulaye Sy,"1m97",16,0.4,0.5,0.5,11,"0-11",5.5,"25%",-,"25%","50%",0.0,0.5,0.5,0.0,0.3,0.0,0.7,0.4,0.6,3.0,2.0,3.0,0.0,0.0,pole-france
Junior Elouma,"1m91",15,0.0,1.0,0.0,1,"0-1",9.0,-,-,-,-,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,pole-france
Nateo Gabriel Des bordes,"1m89",15,0.0,1.0,0.0,1,"0-1",9.0,"0%",-,"0%",-,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,pole-france
Brice Eyaga Bidias,"2m03",25,15.1,6.7,1.5,22,"12-10",29.5,"60.1%","35.2%","54.4%","81.2%",2.4,6.7,1.5,1.1,2.9,1.9,2.8,15.1,17.9,32.0,13.0,6.0,2.0,5.0,pont-de-cheruy
Maydden Nnah-Ndong,"1m93",23,10.5,3.9,2.8,22,"12-10",26.0,"49%","40%","44.7%","75.7%",1.3,3.9,2.8,1.2,2.3,0.0,2.1,10.5,11.0,21.0,8.0,7.0,4.0,1.0,pont-de-cheruy
Maxime Semelet,"1m98",21,8.4,3.7,0.9,11,"8-3",20.5,"61.8%","100%","62.5%","63.6%",1.2,3.7,0.9,1.2,1.2,0.0,1.5,8.4,10.0,14.0,7.0,3.0,3.0,0.0,pont-de-cheruy
Theo Benoit,"1m83",22,7.9,1.5,3.2,22,"12-10",22.8,"33.3%","34.9%","34.4%","82.1%",0.5,1.5,3.2,0.6,2.3,0.1,1.8,7.9,6.1,19.0,4.0,7.0,2.0,1.0,pont-de-cheruy
Tom Dary-Sagnes,"1m94",22,6.9,2.6,1.1,21,"11-10",18.6,"35.6%","36.4%","36.1%","69.6%",0.5,2.6,1.1,0.6,2.0,0.0,2.0,6.9,4.8,14.0,10.0,2.0,2.0,1.0,pont-de-cheruy
Mahes Montout,"1m85",23,6.6,2.4,3.9,19,"12-7",18.5,"43%","21.4%","37.7%","64.2%",0.2,2.4,3.9,1.2,2.1,0.2,2.8,6.6,7.5,12.0,6.0,11.0,4.0,2.0,pont-de-cheruy
Ludovic Chelle,"1m84",40,6.6,2.5,1.8,22,"12-10",21.4,"40.9%","37.3%","38.6%","72.7%",0.5,2.5,1.8,0.6,1.5,0.0,1.8,6.6,6.2,15.0,10.0,7.0,2.0,1.0,pont-de-cheruy
Ambroise Couture,"2m00",21,6.1,3.5,1.3,21,"11-10",20.9,"55.8%","22.2%","47.1%","53.3%",1.5,3.5,1.3,0.4,1.7,0.2,2.3,6.1,6.3,20.0,10.0,6.0,3.0,2.0,pont-de-cheruy
Axel Dossou,"1m97",21,3.7,3.8,1.0,21,"11-10",20.4,"54.4%","0%","52.1%","40%",1.1,3.8,1.0,0.7,0.9,0.1,2.5,3.7,6.6,8.0,8.0,3.0,3.0,1.0,pont-de-cheruy
Cedrick Sam Mbaka,"1m97",21,2.4,2.3,1.0,22,"12-10",17.0,"38.9%","25.5%","29.2%","33.3%",0.3,2.3,1.0,0.4,1.1,0.1,1.7,2.4,2.8,9.0,6.0,4.0,2.0,1.0,pont-de-cheruy
Guillaume Bakadal,-,,0.4,0.6,0.2,5,"0-5",4.6,"0%","0%","0%","50%",0.2,0.6,0.2,0.2,1.0,0.0,0.2,0.4,-0.6,1.0,2.0,1.0,1.0,0.0,pont-de-cheruy
Joel Awich,"2m01",30,11.5,6.2,1.3,22,"16-6",25.7,"57%","31.9%","48%","73.6%",1.4,6.2,1.3,1.0,1.7,0.4,1.9,11.5,13.4,22.0,10.0,4.0,3.0,2.0,quimper
Antoine Wallez,"2m05",27,9.6,2.4,1.4,16,"14-2",17.0,"60.9%","22.7%","53.2%","64.7%",0.9,2.4,1.4,0.4,1.1,0.3,2.2,9.6,8.7,18.0,5.0,4.0,2.0,1.0,quimper
Antoine Dudit,"1m86",26,9.5,2.3,4.4,22,"16-6",25.3,"39.7%","33.6%","35.9%","88.6%",0.6,2.3,4.4,0.6,1.5,0.0,2.2,9.5,9.5,23.0,7.0,8.0,2.0,0.0,quimper
Benoit Injai,"1m82",26,9.0,4.1,2.7,22,"16-6",23.2,"50.8%","34.6%","42%","77.6%",1.6,4.1,2.7,1.5,1.5,0.1,2.7,9.0,11.5,19.0,8.0,6.0,6.0,1.0,quimper
Paul Bouloukouet,"1m94",30,9.0,2.4,1.3,21,"15-6",19.0,"50%","36.2%","44.7%","76.7%",0.8,2.4,1.3,0.6,0.9,0.1,2.3,9.0,8.1,17.0,6.0,4.0,3.0,1.0,quimper
Ron Anderson,"2m04",34,8.5,6.5,2.5,22,"16-6",29.5,"52.5%","35%","48.1%","38.2%",1.8,6.5,2.5,0.8,1.1,0.2,1.9,8.5,12.0,17.0,13.0,6.0,2.0,1.0,quimper
Johan Randriamananjara,"1m98",23,8.0,3.1,2.7,22,"16-6",21.0,"55.9%","27.6%","50%","66.7%",0.5,3.1,2.7,1.2,1.8,0.1,1.0,8.0,9.5,18.0,7.0,6.0,3.0,1.0,quimper
Momar Ndoye,"2m01",28,5.5,3.5,0.9,22,"16-6",17.9,"39.3%","36.7%","37.9%","46.2%",0.9,3.5,0.9,0.5,1.3,0.2,1.6,5.5,5.4,17.0,6.0,3.0,2.0,1.0,quimper
Armand Mensah,"1m80",24,4.7,1.3,2.4,22,"16-6",16.2,"40%","35%","37.9%","70.8%",0.6,1.3,2.4,0.6,1.5,0.0,1.9,4.7,4.5,11.0,3.0,6.0,2.0,0.0,quimper
Desmond Quincy-Jones,"2m01",38,4.3,2.5,1.0,10,"7-3",14.9,"57.1%","27.3%","34.5%","85%",0.1,2.5,1.0,0.3,0.3,0.3,1.7,4.3,5.9,16.0,7.0,4.0,2.0,2.0,quimper
Izan Le Meut,"2m10",19,1.9,1.5,0.4,17,"11-6",5.5,"57.1%",-,"57.1%","53.3%",0.6,1.5,0.4,0.1,0.9,0.1,0.9,1.9,2.1,8.0,7.0,2.0,1.0,1.0,quimper
Alioune Bruno,"1m82",19,0.3,0.2,0.5,6,"6-0",2.7,"0%","0%","0%","50%",0.0,0.2,0.5,0.2,0.3,0.0,0.7,0.3,0.2,1.0,1.0,2.0,1.0,0.0,quimper
Sylvère Mambangui,"1m99",19,0.3,0.2,0.7,6,"6-0",2.5,"50%","0%","33.3%",-,0.0,0.2,0.7,0.2,0.0,0.0,0.5,0.3,1.0,2.0,1.0,2.0,1.0,0.0,quimper
Cheick Sekou-Conde,"2m04",31,16.1,6.3,2.7,19,"10-9",25.3,"50.3%","27.8%","46.7%","68.1%",1.5,6.3,2.7,1.4,2.3,0.6,2.2,16.1,16.2,30.0,13.0,9.0,4.0,2.0,rennes
Fabien Damase,"1m99",21,13.6,5.0,2.6,16,"10-6",28.1,"67%","22.6%","53%","61.4%",1.0,5.0,2.6,1.0,2.6,0.6,1.7,13.6,14.3,25.0,11.0,5.0,4.0,2.0,rennes
Adrien Sclear,"2m06",22,11.8,6.3,2.0,22,"11-11",25.4,"62.7%","33.3%","55.7%","73.1%",1.8,6.3,2.0,0.5,1.6,0.1,2.8,11.8,14.7,25.0,13.0,5.0,3.0,1.0,rennes
Lucas Fontaine,"1m80",27,8.3,2.2,4.1,18,"10-8",19.6,"48.5%","39.8%","42.1%","86.7%",0.2,2.2,4.1,0.9,2.4,0.0,2.1,8.3,9.1,16.0,5.0,9.0,3.0,0.0,rennes
Danny Evans,"1m93",26,8.3,2.6,2.3,15,"7-8",22.7,"57.8%","26.5%","44.2%","45.8%",0.3,2.6,2.3,1.1,1.7,0.2,2.2,8.3,7.7,17.0,7.0,6.0,2.0,1.0,rennes
Kameronn Selebangue,"1m82",19,7.7,1.5,5.0,22,"11-11",22.5,"48.3%","23.7%","38.4%","71%",0.4,1.5,5.0,0.8,2.2,0.1,2.7,7.7,8.2,25.0,5.0,10.0,3.0,1.0,rennes
Boukhary Cissoko,"1m98",23,7.0,2.3,1.3,4,"0-4",19.0,"66.7%","30.8%","48%","0%",0.5,2.3,1.3,0.3,2.0,0.0,2.5,7.0,5.3,12.0,4.0,3.0,1.0,0.0,rennes
