"nom","taille","age","points","reb","pd","d","v_d","min","2p_av","3p_av","fg_av","ft_av","ro","rebb","pdd","inn","bp","ct","fa","ptss","eva","ptsss","rebbb","ast","stl","blk","equipe"
Ewan Le Carour,"1m89",21,6.9,1.7,1.9,18,"10-8",20.8,"57.7%","41.5%","46.2%","86.7%",0.2,1.7,1.9,1.4,1.4,0.0,2.3,6.9,7.7,18.0,4.0,5.0,4.0,0.0,rennes
Joffrey Sclear,"2m00",28,6.8,3.4,2.2,19,"9-10",19.1,"41%","44.1%","43%","41.2%",1.1,3.4,2.2,0.7,1.6,0.1,1.6,6.8,7.7,18.0,6.0,6.0,4.0,1.0,rennes
Clement Poncet-Leberre,"1m85",28,6.2,1.7,2.0,22,"11-11",16.3,"48.7%","38.8%","42.5%","80%",0.3,1.7,2.0,1.0,1.0,0.0,1.5,6.2,6.9,20.0,6.0,5.0,4.0,1.0,rennes
Eliot Thillier,"1m88",21,5.4,3.0,1.4,11,"5-6",17.6,"74.1%","40%","64.9%","46.7%",0.8,3.0,1.4,0.8,1.0,0.0,1.9,5.4,7.6,9.0,8.0,4.0,3.0,0.0,rennes
Maxime Djo Ebala,"2m08",29,2.0,2.6,0.6,21,"10-11",11.6,"42.1%","0%","34%","69.2%",0.8,2.6,0.6,0.5,0.8,0.1,1.8,2.0,3.4,12.0,6.0,2.0,2.0,1.0,rennes
Ismael Kherzane,"1m81",21,0.9,1.5,1.9,15,"8-7",8.3,"27.3%","16.7%","21.7%","50%",0.3,1.5,1.9,0.7,1.1,0.0,1.7,0.9,2.5,5.0,4.0,7.0,3.0,0.0,rennes
Arnaud Maiga,"2m04",21,0.8,0.2,0.0,5,"4-1",4.2,"66.7%",-,"66.7%",-,0.0,0.2,0.0,0.2,0.8,0.0,0.8,0.8,0.2,4.0,1.0,0.0,1.0,0.0,rennes
Briag Guegan,"1m94",20,0.0,0.0,0.0,2,"1-1",1.5,-,"0%","0%",-,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,rennes
Elian Benitez,"1m80",20,14.7,2.6,7.3,20,"9-11",32.9,"48.6%","32.7%","45.1%","70.7%",0.7,2.6,7.3,2.5,2.8,0.1,3.2,14.7,16.5,23.0,7.0,12.0,6.0,1.0,rueil
Steven Ricard,"2m00",33,13.6,4.7,2.0,21,"9-12",34.0,"58.1%","33.8%","43.8%","87.8%",0.7,4.7,2.0,1.3,1.2,0.2,2.1,13.6,14.2,26.0,10.0,6.0,4.0,1.0,rueil
Rafail Lanaras,"1m95",22,13.1,4.9,4.5,22,"10-12",31.6,"44.4%","38.1%","42%","77.9%",1.0,4.9,4.5,2.2,2.6,0.2,3.6,13.1,15.6,24.0,10.0,12.0,6.0,1.0,rueil
Jean-Frederic Morency,"2m03",34,11.1,5.9,1.7,21,"10-11",26.3,"51%","20%","47.3%","62.4%",2.3,5.9,1.7,1.9,2.3,0.6,3.5,11.1,12.6,21.0,11.0,5.0,6.0,3.0,rueil
Omari Gudul,"2m08",29,10.4,4.4,0.9,21,"10-11",25.7,"53%","27.8%","50.5%","59.6%",1.3,4.4,0.9,0.6,2.0,0.4,3.4,10.4,9.5,24.0,9.0,3.0,4.0,2.0,rueil
William Gneze,"2m01",22,9.3,2.8,0.5,22,"10-12",22.0,"63.5%","34.4%","51.9%","73.9%",0.6,2.8,0.5,0.4,1.0,0.1,1.9,9.3,8.3,17.0,10.0,3.0,1.0,2.0,rueil
Birahima Sylla,"2m01",20,6.7,3.4,2.0,22,"10-12",24.6,"44.1%","25%","38%","75.9%",1.0,3.4,2.0,1.0,1.4,0.5,3.3,6.7,7.7,15.0,7.0,5.0,5.0,2.0,rueil
Kevin Cham,"1m86",25,4.0,2.0,1.0,1,"0-1",24.0,"66.7%","0%","33.3%",-,1.0,2.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0,rueil
Nathan Pelissier,"1m96",,1.9,0.8,0.3,19,"10-9",7.7,"26.7%","28.6%","27.3%","80%",0.5,0.8,0.3,0.4,0.4,0.0,1.2,1.9,1.2,12.0,2.0,2.0,3.0,0.0,rueil
Moussa Dicko,"1m95",19,0.8,0.2,0.4,5,"4-1",3.6,"50%","0%","28.6%",-,0.0,0.2,0.4,0.2,0.0,0.0,0.8,0.8,0.6,2.0,1.0,1.0,1.0,0.0,rueil
Curtis Akai,"2m00",21,0.8,1.0,0.1,8,"2-6",5.5,"28.6%",-,"28.6%","50%",0.4,1.0,0.1,0.4,1.1,0.3,0.6,0.8,0.5,3.0,2.0,1.0,2.0,1.0,rueil
Enzo Coique,"1m83",21,0.1,0.0,0.0,8,"4-4",1.6,"0%","0%","0%","50%",0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.1,-0.6,1.0,0.0,0.0,0.0,0.0,rueil
Paul Madeleine,"1m98",24,0.0,0.0,0.0,1,"0-1",2.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rueil
Jazzmarr Ferguson,"1m85",34,18.7,2.5,4.0,22,"16-6",32.9,"55%","40.9%","45.9%","90.6%",0.3,2.5,4.0,1.1,2.6,0.0,2.1,18.7,15.9,38.0,8.0,12.0,4.0,0.0,saint-vallier
Deng Geu,"2m03",26,12.5,5.9,0.7,22,"16-6",24.7,"62.6%","39.2%","56.3%","67.2%",2.1,5.9,0.7,0.4,1.4,0.5,2.1,12.5,13.9,24.0,15.0,2.0,3.0,1.0,saint-vallier
David Ramseyer,"2m03",36,12.2,4.9,0.8,20,"15-5",22.7,"56%","0%","55.7%","64.9%",1.3,4.9,0.8,0.4,2.2,0.2,3.1,12.2,11.1,27.0,9.0,2.0,2.0,2.0,saint-vallier
Hugo Dumortier,"1m95",30,9.6,2.5,3.3,21,"15-6",23.8,"51%","37.5%","41.9%","82.1%",0.3,2.5,3.3,0.6,1.2,0.0,2.2,9.6,10.2,22.0,6.0,8.0,2.0,1.0,saint-vallier
Florent Tortosa,"1m98",34,9.3,3.8,2.0,20,"16-4",21.2,"52.2%","34.2%","42.6%","89.2%",0.5,3.8,2.0,0.3,1.4,0.1,0.8,9.3,9.6,18.0,9.0,6.0,2.0,1.0,saint-vallier
Jerome Cazenobe,"2m05",34,9.2,11.8,3.1,22,"16-6",30.3,"68.2%","50%","66.4%","61.4%",3.5,11.8,3.1,0.8,2.1,0.3,1.3,9.2,20.4,21.0,23.0,10.0,2.0,2.0,saint-vallier
Jean-Francois Kebe,"1m85",29,9.0,2.7,4.3,20,"14-6",24.6,"57.1%","26.4%","44.6%","62.8%",0.3,2.7,4.3,0.6,1.9,0.1,2.4,9.0,9.7,20.0,6.0,10.0,3.0,1.0,saint-vallier
Oumarou Sylla,"1m85",31,7.7,3.7,4.3,3,"2-1",22.3,"50%","0%","39.1%","83.3%",1.3,3.7,4.3,1.0,2.3,0.0,0.3,7.7,9.3,15.0,5.0,7.0,2.0,0.0,saint-vallier
Vincent Ateba,"1m95",38,5.8,2.2,1.6,22,"16-6",21.7,"52.8%","31.1%","42.9%","73.2%",0.4,2.2,1.6,0.5,1.2,0.0,2.1,5.8,5.9,12.0,9.0,5.0,2.0,0.0,saint-vallier
Sasha Derradji,"1m95",17,1.6,1.3,1.0,7,"6-1",6.6,"66.7%","50%","60%","66.7%",0.1,1.3,1.0,0.1,0.7,0.0,0.6,1.6,2.7,5.0,3.0,2.0,1.0,0.0,saint-vallier
Nathan Pineau,"2m04",21,1.4,1.2,0.2,12,"10-2",5.0,"63.6%",-,"63.6%","50%",0.6,1.2,0.2,0.0,0.6,0.1,1.1,1.4,1.7,6.0,3.0,1.0,0.0,1.0,saint-vallier
Ethan Morata,"1m85",19,1.4,0.3,0.8,10,"7-3",4.6,"44.4%","28.6%","37.5%",-,0.1,0.3,0.8,0.7,0.4,0.0,0.8,1.4,1.8,8.0,2.0,4.0,5.0,0.0,saint-vallier
Randy Haynes,"1m92",28,14.3,5.1,3.2,21,"10-11",28.8,"46.2%","36%","42%","82.9%",0.8,5.1,3.2,1.6,2.3,0.3,2.3,14.3,14.8,35.0,11.0,6.0,4.0,2.0,som-boulogne
Aaron Levarity,"2m03",26,12.1,11.3,1.5,19,"9-10",30.7,"64.7%","20.8%","58.3%","75.6%",4.2,11.3,1.5,0.6,1.1,0.1,1.5,12.1,20.3,22.0,21.0,4.0,1.0,1.0,som-boulogne
Cedric Andre,"2m02",30,11.8,5.1,1.1,18,"7-11",25.2,"52.4%",-,"52.4%","73.4%",2.1,5.1,1.1,0.2,2.7,0.3,2.9,11.8,10.8,22.0,13.0,3.0,1.0,2.0,som-boulogne
Garry Chathuant,"1m95",40,11.4,4.0,1.0,21,"10-11",26.2,"42.9%","35.2%","39.5%","65.6%",1.2,4.0,1.0,1.1,1.2,0.2,2.4,11.4,9.4,32.0,11.0,4.0,4.0,2.0,som-boulogne
Dimitri Radnic,"1m93",24,10.6,3.0,3.5,17,"8-9",30.4,"63.6%","25.3%","40.6%","68.8%",0.5,3.0,3.5,2.2,1.1,0.1,2.0,10.6,12.1,16.0,6.0,7.0,6.0,1.0,som-boulogne
Nadyr Labouize,"1m88",26,7.8,2.5,5.0,19,"9-10",25.4,"59.6%","35.7%","46.6%","65.3%",0.2,2.5,5.0,0.4,2.4,0.0,2.3,7.8,9.6,16.0,7.0,13.0,2.0,0.0,som-boulogne
Eric Koumba,"1m94",21,6.9,2.6,1.6,21,"10-11",18.1,"44%","30.8%","40.9%","65.3%",0.6,2.6,1.6,1.0,1.2,0.2,1.2,6.9,6.7,18.0,6.0,4.0,3.0,1.0,som-boulogne
Sydney Hawmmond,"2m14",23,4.0,2.1,0.4,19,"9-10",12.4,"51.8%",-,"51.8%","60%",0.9,2.1,0.4,0.5,1.3,0.4,2.2,4.0,4.1,11.0,7.0,2.0,1.0,2.0,som-boulogne
Pierre Truffert,"1m90",24,3.3,1.7,1.1,20,"10-10",16.9,"30.8%","27.7%","28.8%","78.6%",0.4,1.7,1.1,0.5,0.9,0.2,2.4,3.3,3.1,16.0,5.0,5.0,3.0,1.0,som-boulogne
Moustapha Toure,"1m92",,3.2,1.6,0.3,17,"9-8",7.6,"58.8%","36%","45.2%","66.7%",0.2,1.6,0.3,0.2,0.5,0.0,1.3,3.2,3.2,14.0,3.0,2.0,1.0,0.0,som-boulogne
Luka Nikolic,"2m09",29,13.8,8.0,1.8,22,"11-11",28.0,"57.7%","31%","47.9%","70.4%",2.9,8.0,1.8,0.6,2.4,0.5,2.6,13.8,15.8,29.0,14.0,4.0,3.0,2.0,stade-toulousain-basketball
Samir Mekdad,"1m88",37,11.2,3.6,2.3,22,"11-11",28.3,"42.4%","32.7%","37.4%","77.2%",0.4,3.6,2.3,1.2,2.1,0.1,2.2,11.2,9.8,22.0,8.0,5.0,5.0,1.0,stade-toulousain-basketball
Victor Mopsus,"1m75",24,11.0,4.5,5.9,22,"11-11",35.7,"42.5%","29.5%","34.7%","78.3%",1.5,4.5,5.9,1.9,2.4,0.0,2.2,11.0,14.0,19.0,9.0,13.0,5.0,1.0,stade-toulousain-basketball
Vladimir Ilic,"2m03",24,9.2,3.6,1.7,18,"9-9",22.6,"51.4%","45.6%","48.9%","61.1%",1.1,3.6,1.7,0.9,0.7,0.4,2.4,9.2,11.0,21.0,8.0,5.0,2.0,1.0,stade-toulousain-basketball
Cheikh Gassama,"1m93",28,8.1,3.2,2.4,22,"11-11",25.9,"40.8%","18.9%","34.9%","58.9%",1.5,3.2,2.4,1.0,2.0,0.2,2.4,8.1,6.1,15.0,9.0,6.0,3.0,1.0,stade-toulousain-basketball
Dorian Okemba,"1m86",21,7.2,1.6,1.1,22,"11-11",19.9,"46.5%","25.9%","35.5%","73.2%",0.5,1.6,1.1,1.3,1.6,0.0,1.8,7.2,4.8,13.0,4.0,4.0,5.0,1.0,stade-toulousain-basketball
Thibaud Gottin,"2m00",24,6.4,2.1,0.6,22,"11-11",20.3,"46%","27.9%","37.1%","71.1%",0.7,2.1,0.6,0.7,1.3,0.0,2.2,6.4,4.4,16.0,5.0,2.0,2.0,0.0,stade-toulousain-basketball
Moustafa Haidara,"2m05",22,5.1,6.5,0.3,21,"10-11",20.2,"56.3%","0%","52.9%","48.6%",2.9,6.5,0.3,0.6,1.5,0.2,1.9,5.1,8.4,17.0,15.0,2.0,2.0,2.0,stade-toulousain-basketball
Lucas Kouyate,"1m99",24,1.9,0.9,0.3,13,"5-8",9.5,"36.4%","21.4%","30.6%",-,0.4,0.9,0.3,0.5,0.5,0.2,1.7,1.9,1.5,10.0,3.0,2.0,3.0,1.0,stade-toulousain-basketball
Yarod Silva,"1m98",22,0.6,0.4,0.1,8,"3-5",3.6,"16.7%",-,"16.7%","75%",0.3,0.4,0.1,0.0,0.3,0.1,0.8,0.6,0.3,2.0,3.0,1.0,0.0,1.0,stade-toulousain-basketball
Yann Cancel,"1m80",20,0.3,0.8,0.0,4,"2-2",2.5,"0%","0%","0%","50%",0.5,0.8,0.0,0.0,0.0,0.0,0.5,0.3,0.0,1.0,1.0,0.0,0.0,0.0,stade-toulousain-basketball
Eli Ntinia Levy,-,,0.0,2.0,0.0,1,"1-0",3.0,-,-,-,-,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,stade-toulousain-basketball
Leopold Levillain,-,,0.0,0.0,0.0,1,"1-0",5.0,-,-,-,-,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,stade-toulousain-basketball
Devante Wallace,"1m98",31,16.0,3.7,1.6,17,"8-9",28.8,"43.3%","47.8%","45.8%","88.9%",1.0,3.7,1.6,1.4,1.2,0.4,1.8,16.0,15.1,30.0,7.0,4.0,4.0,2.0,tarbes-lourdes
Jonathan Boucaud,"1m86",28,11.4,2.2,3.5,22,"12-10",26.3,"41.2%","36.7%","37.8%","75.6%",0.4,2.2,3.5,1.3,2.3,0.1,1.9,11.4,9.7,24.0,7.0,9.0,3.0,1.0,tarbes-lourdes
Marius Chambre,"1m82",25,10.3,4.1,5.9,20,"11-9",30.4,"50%","32.4%","36.2%","82.5%",0.8,4.1,5.9,1.3,2.5,0.0,3.2,10.3,13.1,19.0,7.0,9.0,4.0,0.0,tarbes-lourdes
Mohamed Queta,"2m08",28,10.2,6.3,1.6,18,"10-8",24.2,"54.9%","35%","46.5%","75%",1.3,6.3,1.6,0.8,1.4,1.2,2.4,10.2,13.8,17.0,12.0,6.0,3.0,4.0,tarbes-lourdes
Franck Yangue,"2m05",33,8.3,5.4,0.6,22,"12-10",20.0,"64.9%",-,"64.9%","54%",2.0,5.4,0.6,0.7,1.6,0.9,2.8,8.3,11.2,14.0,10.0,2.0,2.0,3.0,tarbes-lourdes
Tom Wiscart Goetz,"1m88",24,6.5,1.9,4.8,21,"11-10",24.5,"30%","25.6%","27.3%","74.1%",0.5,1.9,4.8,0.8,1.9,0.0,2.0,6.5,6.8,22.0,5.0,12.0,3.0,0.0,tarbes-lourdes
Tidiane Badiane,"2m08",28,6.2,3.0,0.5,22,"12-10",14.9,"65.4%","0%","64.6%","44.3%",0.7,3.0,0.5,0.1,2.1,0.2,3.2,6.2,4.6,13.0,9.0,2.0,1.0,1.0,tarbes-lourdes
Nelson Cece,"2m00",21,6.2,3.2,0.6,18,"10-8",13.9,"73.3%","13.3%","61.3%","60%",1.1,3.2,0.6,0.3,1.4,0.1,2.0,6.2,6.6,21.0,8.0,3.0,1.0,1.0,tarbes-lourdes
Bryan Coudray,"1m89",23,6.0,2.8,3.0,4,"3-1",17.3,"46.2%","14.3%","35%","52.9%",1.3,2.8,3.0,0.5,1.5,0.0,1.3,6.0,5.5,10.0,5.0,6.0,1.0,0.0,tarbes-lourdes
Fabien Ateba,"1m95",32,6.0,2.8,0.8,4,"3-1",19.3,"35.3%","12.5%","24.2%","75%",0.8,2.8,0.8,0.5,1.0,0.3,0.8,6.0,2.5,11.0,5.0,1.0,1.0,1.0,tarbes-lourdes
Niels Pharose,"1m99",24,5.1,3.0,1.0,22,"12-10",18.7,"47.7%","37%","41.8%","78.6%",0.7,3.0,1.0,0.4,1.2,0.1,1.9,5.1,5.8,12.0,7.0,4.0,1.0,1.0,tarbes-lourdes
Francois Matip,"2m00",23,3.7,2.9,0.6,7,"4-3",18.1,"34.8%","33.3%","34.5%","50%",0.9,2.9,0.6,0.4,2.1,0.0,3.3,3.7,2.1,6.0,6.0,1.0,1.0,0.0,tarbes-lourdes
Jules Le Roux,"1m98",22,2.0,1.6,0.7,11,"6-5",7.3,"60%","50%","57.1%","36.4%",0.3,1.6,0.7,0.5,1.0,0.3,1.5,2.0,2.9,6.0,5.0,3.0,2.0,1.0,tarbes-lourdes
Raydon Atipa,"1m80",23,0.6,0.1,0.1,9,"6-3",2.7,-,"0%","0%","83.3%",0.0,0.1,0.1,0.1,0.4,0.0,0.3,0.6,0.2,3.0,1.0,1.0,1.0,0.0,tarbes-lourdes
Fabien Paschal,"2m07",32,13.3,5.9,1.4,22,"14-8",20.1,"54.5%","42.2%","51.9%","83.3%",1.7,5.9,1.4,0.3,1.7,0.3,2.3,13.3,14.3,23.0,11.0,4.0,1.0,2.0,tours
Pierre-Etienne Drouault,"1m96",33,10.9,3.5,2.6,15,"11-4",24.2,"50%","39.5%","46.3%","84.5%",0.3,3.5,2.6,0.9,2.0,0.3,1.5,10.9,11.7,23.0,11.0,7.0,2.0,2.0,tours
Scott Suggs,"2m00",34,10.2,2.7,1.3,22,"14-8",24.6,"52.7%","27.1%","43.7%","76.2%",0.5,2.7,1.3,0.4,1.5,0.4,1.3,10.2,7.9,22.0,10.0,4.0,2.0,1.0,tours
Augustinas Venckus,"1m90",26,10.2,2.3,2.0,21,"13-8",23.4,"43.1%","43.8%","43.6%","84.2%",0.2,2.3,2.0,0.1,1.7,0.0,1.7,10.2,8.5,21.0,7.0,6.0,1.0,1.0,tours
Theo Leon,"1m80",31,9.0,2.8,5.1,22,"14-8",25.1,"53.5%","39.5%","48.8%","72%",0.7,2.8,5.1,1.3,2.6,0.0,1.9,9.0,11.6,15.0,7.0,10.0,3.0,0.0,tours
Rigo Edzata,"2m03",26,8.6,5.6,0.6,22,"14-8",20.1,"64.5%","37.1%","50%","91.2%",0.9,5.6,0.6,0.6,0.5,0.4,1.8,8.6,12.2,19.0,13.0,3.0,2.0,2.0,tours
Valentin Vitale-Boiteux,"1m87",22,7.5,1.8,3.5,22,"14-8",16.6,"46.8%","32.7%","40.5%","84.3%",0.3,1.8,3.5,0.8,1.6,0.0,1.5,7.5,8.4,20.0,4.0,7.0,3.0,0.0,tours
Alexis Dargenton,"2m03",29,7.1,5.3,1.9,22,"14-8",21.0,"58.9%","20%","50.8%","61.7%",1.2,5.3,1.9,0.9,1.5,0.5,2.5,7.1,10.6,15.0,11.0,5.0,4.0,1.0,tours
Abdel Kader Sylla,"2m05",33,6.7,3.7,1.9,21,"14-7",18.7,"60.4%","50%","60.2%","50.9%",1.3,3.7,1.9,0.4,1.8,0.5,2.5,6.7,8.4,12.0,9.0,5.0,2.0,2.0,tours
Emmanuel Monceau,"1m95",28,6.0,3.4,1.0,5,"3-2",16.4,"66.7%","50%","64.7%","58.3%",2.0,3.4,1.0,1.0,1.4,0.0,2.4,6.0,7.8,10.0,5.0,2.0,2.0,0.0,tours
Ousmane Kaba,"1m94",21,4.5,3.1,1.0,21,"14-7",12.6,"70.9%","12.5%","57.7%","52.4%",1.6,3.1,1.0,0.5,1.0,0.0,1.1,4.5,6.3,11.0,9.0,6.0,3.0,0.0,tours
Yohann Mayola,"2m01",22,2.0,1.0,0.0,1,"1-0",4.0,"100%",-,"100%",-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,tours
Hugo Bequignon,"1m94",22,13.2,2.7,2.8,21,"10-11",28.4,"46.6%","47.1%","46.8%","71.4%",0.5,2.7,2.8,1.7,2.4,0.2,1.9,13.2,12.0,23.0,8.0,7.0,4.0,2.0,vitre
Warren Racine,"1m88",28,12.5,3.0,3.9,22,"11-11",28.3,"60.2%","39.6%","49%","80.8%",0.4,3.0,3.9,0.7,1.7,0.1,1.6,12.5,13.6,24.0,7.0,9.0,3.0,1.0,vitre
Gaylor Lobela,"2m02",28,10.5,5.5,1.3,4,"3-1",28.3,"54.5%","33.3%","50%","70.6%",1.8,5.5,1.3,0.8,1.8,0.0,2.8,10.5,11.5,14.0,7.0,2.0,1.0,0.0,vitre
Josh Ferguson,"2m03",27,9.8,6.1,1.5,8,"4-4",29.6,"51.1%","34.6%","45.1%","55.6%",1.6,6.1,1.5,0.6,1.5,0.4,2.3,9.8,11.5,18.0,12.0,5.0,2.0,1.0,vitre
Calvin Jubenot,"1m98",37,8.5,4.7,1.3,13,"6-7",21.5,"50.6%","33.3%","48.9%","78.3%",1.2,4.7,1.3,1.0,1.8,0.3,3.5,8.5,10.0,18.0,10.0,3.0,2.0,1.0,vitre
Kilian Incredule,"1m75",27,8.5,3.6,3.6,22,"11-11",22.9,"48.9%","34%","38.9%","78.8%",0.9,3.6,3.6,0.9,1.4,0.0,2.6,8.5,10.6,23.0,9.0,8.0,3.0,0.0,vitre
Jean-Jacques Boissy,"1m83",23,7.6,2.4,1.3,11,"5-6",18.1,"51.4%","27.8%","39.7%","72.7%",0.2,2.4,1.3,1.3,2.2,0.0,2.1,7.6,5.8,16.0,5.0,2.0,4.0,0.0,vitre
Vincent Fandelet,"2m00",31,6.3,2.5,1.0,21,"11-10",21.9,"44.9%","12.5%","40.7%","62.5%",0.8,2.5,1.0,1.1,1.6,0.1,2.9,6.3,5.1,14.0,6.0,3.0,3.0,1.0,vitre
Yannis Mendy,"1m99",27,5.9,4.0,1.2,18,"8-10",24.5,"58.9%","11.1%","53.7%","60.7%",1.6,4.0,1.2,1.0,2.1,0.2,2.4,5.9,7.5,18.0,8.0,3.0,3.0,2.0,vitre
Alexis Racine,"1m91",28,5.5,1.6,1.2,21,"11-10",16.1,"50.9%","35.1%","44.6%","75%",0.6,1.6,1.2,0.9,1.4,0.0,1.6,5.5,5.1,18.0,5.0,6.0,3.0,1.0,vitre
Romain Gregoire,"2m01",32,5.0,3.8,0.6,22,"11-11",18.0,"47.2%","33.9%","38.8%","63.2%",1.0,3.8,0.6,0.4,0.5,0.5,1.9,5.0,6.7,20.0,9.0,2.0,2.0,3.0,vitre
Marcellus Roberts,"2m03",28,3.5,3.0,0.9,13,"6-7",16.4,"51.2%",-,"51.2%","44.4%",0.5,3.0,0.9,0.5,1.9,0.4,2.2,3.5,4.5,10.0,8.0,4.0,2.0,2.0,vitre
Kevin Keliki,"2m08",23,1.3,1.3,0.0,3,"1-2",5.7,"25%",-,"25%",-,1.0,1.3,0.0,0.0,1.0,0.0,1.7,1.3,-0.3,2.0,3.0,0.0,0.0,0.0,vitre
Olivier Obiejesi,"1m96",23,0.3,0.0,0.0,6,"5-1",1.8,"33.3%","0%","25%",-,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.3,-0.3,2.0,0.0,0.0,0.0,0.0,vitre
